product_id,product_name,category,price,description,rating,image_url
1,Tablet Max,Electronics,287.75,Large screen tablet for entertainment and work,4.7,https://loremflickr.com/200/200/electronics
2,Microwave Oven,Home Appliances,194.02,Convection microwave oven with grill feature,4.4,https://loremflickr.com/200/200/home-appliance
3,Self-help Guide,Books,548.36,Improve your life with practical advice,4.4,https://loremflickr.com/200/200/books
4,Jeans,Clothing,347.98,Comfortable and durable denim jeans,4.0,https://loremflickr.com/200/200/clothing
5,Dollhouse,Toys,951.67,Detailed dollhouse with accessories,4.2,https://loremflickr.com/200/200/toys
6,Football,Sports,358.12,Official size football for matches,4.2,https://loremflickr.com/200/200/sports
7,Makeup Kit,Beauty,94.54,Complete set for a perfect look,4.7,https://loremflickr.com/200/200/beauty
8,Smartphone X,Electronics,136.33,Latest smartphone with advanced camera,4.5,https://loremflickr.com/200/200/electronics
9,Air Conditioner,Home Appliances,401.84,Energy-efficient air conditioner with remote control,3.6,https://loremflickr.com/200/200/home-appliance
10,Thriller Novel,Books,989.84,A suspenseful thriller that keeps you on edge,4.0,https://loremflickr.com/200/200/books
11,T-Shirt,Clothing,229.22,Casual cotton t-shirt with cool prints,4.6,https://loremflickr.com/200/200/clothing
12,Remote Car,Toys,595.51,High-speed remote-controlled car,4.9,https://loremflickr.com/200/200/toys
13,Dumbbells,Sports,773.31,Adjustable dumbbells for home workouts,4.1,https://loremflickr.com/200/200/sports
14,Face Cream,Beauty,55.52,Moisturizing cream for glowing skin,4.2,https://loremflickr.com/200/200/beauty
15,Tablet Max,Electronics,938.63,Large screen tablet for entertainment and work,4.4,https://loremflickr.com/200/200/electronics
16,Microwave Oven,Home Appliances,463.78,Convection microwave oven with grill feature,3.6,https://loremflickr.com/200/200/home-appliance
17,Science Fiction,Books,465.79,Explore futuristic worlds and alien civilizations,4.2,https://loremflickr.com/200/200/books
18,Men's Jacket,Clothing,926.67,Warm and stylish jacket for men,3.6,https://loremflickr.com/200/200/clothing
